x_mm,y_mm,speed_mms,distance_mm,angle_deg
504.5,1630.8,-2000.0,1740.86,16.52
177.0,1608.0,160.0,1617.71,6.28
181.0,1605.5,160.0,1613.64,6.58
185.0,1603.33,80.0,1610.61,6.88
189.5,1601.0,0.0,1606.87,7.26
194.0,1598.0,0.0,1600.11,7.61
198.67,1594.33,80.0,1591.56,8.02
203.57,1590.43,80.0,1584.23,8.46
211.0,1584.88,80.0,1568.21,9.65
220.44,1578.89,80.0,1559.35,10.94
231.3,1573.5,160.0,1560.09,12.17
249.3,1564.2,240.0,1556.49,13.26
268.6,1553.2,160.0,1540.11,14.21
289.0,1539.6,320.0,1515.91,15.18
310.1,1523.8,390.0,1494.49,16.08
331.4,1506.0,390.0,1470.74,16.8
352.9,1486.9,390.0,1452.31,17.51
374.1,1466.3,320.0,1431.9,18.11
392.8,1444.8,240.0,1405.01,18.68
408.2,1420.8,160.0,1367.18,19.22
