x_mm,y_mm,speed_mms,distance_mm,angle_deg
-1099.4,1499.8,390.0,1769.29,-35.52
-1058.6,1475.6,240.0,1715.04,-34.52
-1018.8,1444.8,320.0,1666.63,-34.04
-976.4,1415.2,240.0,1626.54,-32.88
-928.8,1392.6,240.0,1594.79,-31.28
-873.8,1378.8,320.0,1564.18,-28.78
-812.4,1373.6,320.0,1538.18,-25.62
-743.6,1376.8,320.0,1516.09,-22.86
-671.0,1380.4,390.0,1478.46,-20.59
-598.6,1378.6,480.0,1431.95,-18.99
-530.2,1368.6,320.0,1383.46,-17.28
-468.8,1351.8,240.0,1351.29,-15.36
-410.4,1330.2,160.0,1322.77,-12.98
-351.6,1312.0,80.0,1312.6,-9.91
-292.0,1299.2,0.0,1300.89,-7.42
-233.4,1293.6,-80.0,1298.37,-5.21
-178.0,1293.4,-240.0,1304.52,-3.56
-127.8,1297.8,-160.0,1311.81,-2.01
-82.2,1300.8,160.0,1308.0,0.09
-37.2,1302.0,240.0,1297.25,2.52
