x_mm,y_mm,speed_mms,distance_mm,angle_deg
-69.6,2368.4,240.0,2360.52,-2.65
-87.6,2362.6,390.0,2348.92,-2.86
-102.4,2354.2,480.0,2336.4,-3.09
-114.2,2342.4,880.0,2313.49,-3.15
-117.0,2320.0,720.0,2255.49,-2.69
-105.0,2276.8,390.0,2142.56,-1.31
-79.8,2216.6,240.0,2045.02,0.25
-42.0,2142.4,80.0,1963.01,1.84
6.0,2061.8,-160.0,1910.34,3.39
62.2,1987.6,720.0,1890.12,5.31
115.0,1936.2,-320.0,1897.22,6.51
156.2,1903.0,-240.0,1891.26,6.53
183.8,1886.2,-80.0,1888.73,6.11
199.6,1879.8,-80.0,1884.8,5.85
202.6,1878.4,-240.0,1884.6,5.79
197.6,1876.6,-160.0,1885.6,5.78
193.2,1876.2,-160.0,1886.9,5.87
193.6,1876.2,320.0,1888.94,6.17
202.2,1877.6,-240.0,1896.62,7.12
218.8,1879.8,-240.0,1905.66,8.24
