timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1790444873.5551598,60294,Target 0,-407.0,1046.0,-390.0,1122.39,-21.26,True,Active,abdullah,Sideways,Normal,1: Walking
1790444873.6912422,60295,Target 0,-451.0,1047.0,-480.0,1140.0,-23.3,True,Active,abdullah,Sideways,Normal,1: Walking
1790444873.7112916,60296,Target 0,-507.0,1065.0,-320.0,1179.52,-25.46,True,Active,abdullah,Sideways,Normal,1: Walking
1790444873.8320777,60297,Target 0,-563.0,1082.0,-390.0,1219.71,-27.49,True,Active,abdullah,Sideways,Normal,1: Walking
1790444873.8650775,60298,Target 0,-599.0,1114.0,-160.0,1264.83,-28.27,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.010725,60299,Target 0,-640.0,1131.0,-320.0,1299.52,-29.5,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.043686,60300,Target 0,-667.0,1148.0,-160.0,1327.7,-30.16,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.138883,60301,Target 0,-691.0,1163.0,-240.0,1352.79,-30.72,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.226096,60302,Target 0,-712.0,1173.0,-320.0,1372.18,-31.26,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.3121743,60303,Target 0,-731.0,1187.0,-390.0,1394.03,-31.63,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.4043918,60304,Target 0,-765.0,1187.0,-160.0,1412.16,-32.8,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.4970837,60305,Target 0,-806.0,1204.0,-390.0,1448.88,-33.8,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.6013303,60306,Target 0,-845.0,1216.0,-390.0,1480.77,-34.8,True,Active,abdullah,Sideways,Normal,1: Walking
1790444874.6727438,60307,Target 0,-889.0,1217.0,-390.0,1507.12,-36.15,True,Active,abdullah,Sideways,Normal,1: Walking
