timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1790360770.1396124,17670,Person 10,279.9,1206.9,-160.0,1414.8,11.58,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.2146366,17671,Person 10,279.2,1243.1,-80.0,1450.69,11.61,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.2712424,17672,Person 10,278.9,1281.1,-160.0,1484.21,11.39,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.3181329,17673,Person 10,278.6,1321.0,0.0,1518.15,11.05,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.3806105,17674,Person 10,280.3,1360.3,80.0,1557.77,11.03,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.474354,17675,Person 10,282.5,1398.5,160.0,1588.21,10.81,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.5844948,17676,Person 10,284.7,1434.1,80.0,1605.59,10.44,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.6923914,17677,Person 10,286.9,1467.3,160.0,1622.41,10.15,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.7994776,17678,Person 10,288.2,1497.7,390.0,1635.97,9.82,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.906104,17679,Person 10,288.5,1524.8,480.0,1641.86,9.57,True,Active,ArslanAzad,None,Normal,1: Walking
1790360770.9894302,17680,Person 10,287.2,1548.1,480.0,1641.52,9.5,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.0569375,17681,Person 10,284.8,1567.6,390.0,1638.07,9.42,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.123361,17682,Person 10,281.8,1583.4,320.0,1634.3,9.26,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.1907382,17683,Person 10,278.5,1595.6,390.0,1632.52,9.09,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.2932062,17684,Person 10,274.2,1603.7,390.0,1630.07,9.0,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.3921535,17685,Person 10,269.5,1608.3,390.0,1625.5,8.88,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.4791,17686,Person 10,265.1,1610.4,480.0,1618.95,8.78,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.5542476,17687,Person 10,260.7,1610.1,640.0,1612.27,8.63,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.6423926,17688,Person 10,256.4,1607.4,560.0,1602.47,8.47,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.729979,17689,Person 10,252.0,1602.8,480.0,1589.58,8.28,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.8309216,17690,Person 10,247.4,1597.0,480.0,1577.13,8.2,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.906506,17691,Person 10,242.9,1590.0,390.0,1562.0,8.21,True,Active,ArslanAzad,None,Normal,1: Walking
1790360771.9983995,17692,Person 10,238.4,1579.2,390.0,1520.71,8.24,True,Active,ArslanAzad,None,Normal,1: Walking
1790360772.0719678,17693,Person 10,233.9,1564.6,320.0,1481.39,8.27,True,Active,ArslanAzad,None,Normal,1: Walking
1790360772.1657093,17694,Person 10,229.5,1546.3,320.0,1442.52,8.41,True,Active,ArslanAzad,None,Normal,1: Walking
1790360772.2751818,17695,Person 10,225.1,1525.0,480.0,1408.3,8.45,True,Active,ArslanAzad,None,Normal,1: Walking
1790360772.358134,17696,Person 10,220.7,1500.8,480.0,1373.09,8.5,True,Active,ArslanAzad,None,Normal,1: Walking
1790360772.4378943,17697,Person 10,216.7,1473.5,320.0,1336.36,8.69,True,Active,ArslanAzad,None,Normal,1: Walking
