timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1789493928.4074888,26973,Person E,1933.11,2812.11,320.0,3418.13,34.5,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.4897053,26974,Person E,1933.6,2813.0,320.0,3422.56,34.49,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.553418,26975,Person E,1935.0,2813.9,-80.0,3426.68,34.44,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.6471574,26976,Person E,1936.2,2815.2,160.0,3426.94,34.42,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.7252774,26977,Person E,1936.4,2816.9,-80.0,3427.42,34.31,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.8234756,26978,Person E,1935.6,2819.1,240.0,3425.96,34.19,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.9074414,26979,Person E,1934.5,2821.2,640.0,3422.35,34.19,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493928.9809904,26980,Person E,1933.1,2823.6,390.0,3422.09,34.21,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.074072,26981,Person E,1931.7,2826.0,320.0,3424.6,34.24,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.1906404,26982,Person E,1931.4,2827.8,240.0,3427.72,34.35,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.2741535,26983,Person E,1931.6,2828.9,160.0,3428.33,34.42,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.3654141,26984,Person E,1931.5,2829.8,80.0,3429.41,34.39,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.474284,26985,Person E,1931.7,2830.3,320.0,3431.93,34.42,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.5743554,26986,Person E,1931.9,2830.5,640.0,3429.72,34.43,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.6586854,26987,Person E,1932.0,2830.2,-80.0,3425.5,34.35,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.7408645,26988,Person E,1931.6,2829.7,-80.0,3419.57,34.18,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.823203,26989,Person E,1930.3,2829.7,-80.0,3415.06,34.01,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.890913,26990,Person E,1928.2,2829.8,160.0,3411.15,33.91,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493929.9911046,26991,Person E,1925.9,2829.5,320.0,3409.22,33.95,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.09125,26992,Person E,1923.4,2829.2,320.0,3411.19,34.03,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.1824796,26993,Person E,1921.5,2828.9,320.0,3415.14,34.19,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.2542148,26994,Person E,1920.5,2828.1,160.0,3417.16,34.33,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.3167105,26995,Person E,1919.3,2826.8,-160.0,3414.43,34.38,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.4416845,26996,Person E,1917.6,2825.7,-80.0,3411.04,34.3,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.5666778,26997,Person E,1916.1,2824.8,160.0,3409.62,34.23,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.6291726,26998,Person E,1915.1,2823.6,80.0,3404.03,34.15,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.7072923,26999,Person E,1914.7,2822.2,320.0,3401.22,34.08,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.785411,27000,Person E,1915.4,2820.8,320.0,3403.47,34.14,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.8635478,27001,Person E,1916.4,2819.5,160.0,3404.06,34.21,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493930.9572914,27002,Person E,1916.8,2818.1,-160.0,3401.84,34.22,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.0510156,27003,Person E,1916.5,2816.6,320.0,3401.05,34.29,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.1135142,27004,Person E,1915.8,2815.4,160.0,3403.31,34.34,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.191634,27005,Person E,1915.0,2814.3,160.0,3400.83,34.37,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.2541296,27006,Person E,1915.0,2813.4,320.0,3403.61,34.38,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.3322482,27007,Person E,1915.9,2812.6,320.0,3408.09,34.43,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.4103675,27008,Person E,1918.1,2811.8,160.0,3409.83,34.53,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.4885054,27009,Person E,1921.1,2810.9,-80.0,3410.71,34.58,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.5510013,27010,Person E,1923.2,2810.3,-80.0,3410.35,34.49,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.6447272,27011,Person E,1924.4,2810.0,640.0,3408.35,34.41,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.722848,27012,Person E,1925.4,2809.8,640.0,3405.83,34.38,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.800984,27013,Person E,1925.5,2810.0,-80.0,3403.27,34.28,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.8791041,27014,Person E,1925.0,2810.3,320.0,3402.97,34.25,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493931.9572082,27015,Person E,1924.0,2811.4,-80.0,3404.29,34.13,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493932.0353222,27016,Person E,1922.2,2812.3,-160.0,3400.93,34.05,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493932.1134455,27017,Person E,1919.7,2812.8,320.0,3398.16,34.04,True,Active,shazia,None,Normal,5: Lying down (controlled)
1789493932.1915822,27018,Person E,1916.8,2813.8,240.0,3401.76,34.04,True,Active,shazia,None,Normal,5: Lying down (controlled)
