timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1790441307.4853418,20221,Target 0,629.0,1703.0,160.0,1815.45,20.27,True,Active,zain,Forward,Normal,1: Walking
1790441307.5067515,20222,Target 0,562.0,1696.0,160.0,1786.69,18.33,True,Active,zain,Forward,Normal,1: Walking
1790441307.5322382,20223,Target 0,506.0,1681.0,80.0,1755.5,16.75,True,Active,zain,Forward,Normal,1: Walking
1790441307.6019745,20224,Target 0,455.0,1663.0,80.0,1724.12,15.3,True,Active,zain,Forward,Normal,1: Walking
1790441307.7389815,20225,Target 0,402.0,1649.0,160.0,1697.29,13.7,True,Active,zain,Forward,Normal,1: Walking
1790441307.778515,20226,Target 0,345.0,1642.0,80.0,1677.85,11.87,True,Active,zain,Forward,Normal,1: Walking
1790441307.87828,20227,Target 0,287.0,1621.0,390.0,1646.21,10.04,True,Active,zain,Forward,Normal,1: Walking
1790441307.9609387,20228,Target 0,220.0,1593.0,320.0,1608.12,7.86,True,Active,zain,Forward,Normal,1: Walking
1790441308.06353,20229,Target 0,153.0,1584.0,-80.0,1591.37,5.52,True,Active,zain,Forward,Normal,1: Walking
1790441308.1373048,20230,Target 0,83.0,1588.0,-160.0,1590.17,2.99,True,Active,zain,Forward,Normal,1: Walking
1790441308.2240052,20231,Target 0,7.0,1594.0,-240.0,1594.02,0.25,True,Active,zain,Forward,Normal,1: Walking
1790441308.3251252,20232,Target 0,-62.0,1602.0,-240.0,1603.2,-2.22,True,Active,zain,Forward,Normal,1: Walking
1790441308.506316,20233,Target 0,-122.0,1611.0,-160.0,1615.61,-4.33,True,Active,zain,Forward,Normal,1: Walking
1790441308.5267868,20234,Target 0,-183.0,1622.0,-320.0,1632.29,-6.44,True,Active,zain,Forward,Normal,1: Walking
1790441308.5812526,20235,Target 0,-247.0,1635.0,-320.0,1653.55,-8.59,True,Active,zain,Forward,Normal,1: Walking
1790441308.7130325,20236,Target 0,-309.0,1626.0,-480.0,1655.1,-10.76,True,Active,zain,Forward,Normal,1: Walking
1790441308.7879853,20237,Target 0,-369.0,1623.0,-320.0,1664.42,-12.81,True,Active,zain,Forward,Normal,1: Walking
1790441308.897564,20238,Target 0,-429.0,1614.0,-560.0,1670.04,-14.89,True,Active,zain,Forward,Normal,1: Walking
1790441308.9495099,20239,Target 0,-482.0,1611.0,-390.0,1681.56,-16.66,True,Active,zain,Forward,Normal,1: Walking
1790441309.0303767,20240,Target 0,-533.0,1617.0,-480.0,1702.58,-18.24,True,Active,zain,Forward,Normal,1: Walking
1790441309.148112,20241,Target 0,-589.0,1631.0,-560.0,1734.09,-19.86,True,Active,zain,Forward,Normal,1: Walking
1790441309.205096,20242,Target 0,-652.0,1660.0,-560.0,1783.45,-21.44,True,Active,zain,Forward,Normal,1: Walking
1790441309.334767,20243,Target 0,-707.0,1688.0,-560.0,1830.08,-22.73,True,Active,zain,Forward,Normal,1: Walking
1790441309.3846738,20244,Target 0,-763.0,1713.0,-560.0,1875.24,-24.01,True,Active,zain,Forward,Normal,1: Walking
1790441309.5198677,20245,Target 0,-832.0,1728.0,-640.0,1917.87,-25.71,True,Active,zain,Forward,Normal,1: Walking
1790441309.6361842,20246,Target 0,-885.0,1749.0,-560.0,1960.16,-26.84,True,Active,zain,Forward,Normal,1: Walking
1790441309.6596131,20247,Target 0,-936.0,1771.0,-560.0,2003.13,-27.86,True,Active,zain,Forward,Normal,1: Walking
1790441309.7766433,20248,Target 0,-1007.0,1783.0,-720.0,2047.72,-29.46,True,Active,zain,Forward,Normal,1: Walking
1790441309.836771,20249,Target 0,-1059.0,1799.0,-720.0,2087.55,-30.48,True,Active,zain,Forward,Normal,1: Walking
1790441309.9159489,20250,Target 0,-1093.0,1827.0,-720.0,2128.99,-30.89,True,Active,zain,Forward,Normal,1: Walking
1790441310.0037918,20251,Target 0,-1130.0,1860.0,-640.0,2176.35,-31.28,True,Active,zain,Forward,Normal,1: Walking
1790441310.0989704,20252,Target 0,-1186.0,1885.0,-390.0,2227.07,-32.18,True,Active,zain,Forward,Normal,1: Walking
1790441310.189275,20253,Target 0,-1247.0,1897.0,-390.0,2270.16,-33.32,True,Active,zain,Forward,Normal,1: Walking
1790441310.2776723,20254,Target 0,-1297.0,1924.0,-390.0,2320.34,-33.98,True,Active,zain,Forward,Normal,1: Walking
1790441310.3658698,20255,Target 0,-1344.0,1950.0,-390.0,2368.3,-34.58,True,Active,zain,Forward,Normal,1: Walking
1790441310.458135,20256,Target 0,-1379.0,1971.0,-320.0,2405.51,-34.98,True,Active,zain,Forward,Normal,1: Walking
1790441310.5419612,20257,Target 0,-1415.0,1995.0,-560.0,2445.86,-35.35,True,Active,zain,Forward,Normal,1: Walking
1790441310.6265786,20258,Target 0,-1455.0,2016.0,-320.0,2486.22,-35.82,True,Active,zain,Forward,Normal,1: Walking
1790441310.7222822,20259,Target 0,-1494.0,2047.0,-320.0,2534.21,-36.12,True,Active,zain,Forward,Normal,1: Walking
1790441310.810912,20260,Target 0,-1545.0,2100.0,-320.0,2607.11,-36.34,True,Active,zain,Forward,Normal,1: Walking
1790441310.900861,20261,Target 0,-1586.0,2136.0,-160.0,2660.43,-36.59,True,Active,zain,Forward,Normal,1: Walking
1790441310.988206,20262,Target 0,-1641.0,2148.0,-160.0,2703.11,-37.38,True,Active,zain,Forward,Normal,1: Walking
1790441311.1360636,20263,Target 0,-1700.0,2142.0,-160.0,2734.62,-38.44,True,Active,zain,Forward,Normal,1: Walking
1790441311.1990418,20264,Target 0,-1738.0,2129.0,-160.0,2748.32,-39.23,True,Active,zain,Forward,Normal,1: Walking
1790441311.2541912,20265,Target 0,-1790.0,2099.0,-80.0,2758.6,-40.46,True,Active,zain,Forward,Normal,1: Walking
1790441311.4549556,20266,Target 0,-1834.0,2082.0,-240.0,2774.58,-41.38,True,Active,zain,Forward,Normal,1: Walking
1790441311.475572,20267,Target 0,-1893.0,2055.0,-160.0,2794.01,-42.65,True,Active,zain,Forward,Normal,1: Walking
1790441311.5162187,20268,Target 0,-1929.0,2047.0,-320.0,2812.69,-43.3,True,Active,zain,Forward,Normal,1: Walking
1790441311.6144285,20269,Target 0,-1962.0,2039.0,-320.0,2829.66,-43.9,True,Active,zain,Forward,Normal,1: Walking
1790441311.7442076,20270,Target 0,-1956.0,2058.0,-240.0,2839.24,-43.54,True,Active,zain,Forward,Normal,1: Walking
1790441311.844128,20271,Target 0,-1945.0,2076.0,80.0,2844.78,-43.13,True,Active,zain,Forward,Normal,1: Walking
1790441311.894909,20272,Target 0,-1932.0,2094.0,240.0,2849.12,-42.7,True,Active,zain,Forward,Normal,1: Walking
1790441312.0002153,20273,Target 0,-1922.0,2102.0,390.0,2848.24,-42.44,True,Active,zain,Forward,Normal,1: Walking
1790441312.1145604,20274,Target 0,-1919.0,2102.0,480.0,2846.22,-42.39,True,Active,zain,Forward,Normal,1: Walking
1790441312.1384175,20275,Target 0,-1915.0,2103.0,480.0,2844.26,-42.32,True,Active,zain,Forward,Normal,1: Walking
1790441312.231893,20276,Target 0,-1912.0,2102.0,390.0,2841.5,-42.29,True,Active,zain,Forward,Normal,1: Walking
1790441312.3254557,20277,Target 0,-1905.0,2103.0,390.0,2837.54,-42.17,True,Active,zain,Forward,Normal,1: Walking
1790441312.4058876,20278,Target 0,-1897.0,2102.0,480.0,2831.43,-42.07,True,Active,zain,Forward,Normal,1: Walking
1790441312.4952495,20279,Target 0,-1883.0,2102.0,480.0,2822.07,-41.85,True,Active,zain,Forward,Normal,1: Walking
1790441312.5885055,20280,Target 0,-1870.0,2100.0,720.0,2811.92,-41.68,True,Active,zain,Forward,Normal,1: Walking
1790441312.6740122,20281,Target 0,-1859.0,2093.0,790.0,2799.38,-41.61,True,Active,zain,Forward,Normal,1: Walking
1790441312.7621052,20282,Target 0,-1845.0,2087.0,790.0,2785.6,-41.48,True,Active,zain,Forward,Normal,1: Walking
1790441312.852053,20283,Target 0,-1827.0,2082.0,640.0,2769.96,-41.27,True,Active,zain,Forward,Normal,1: Walking
1790441312.9466257,20284,Target 0,-1805.0,2080.0,560.0,2753.98,-40.95,True,Active,zain,Forward,Normal,1: Walking
1790441313.0378957,20285,Target 0,-1742.0,2069.0,560.0,2704.69,-40.1,True,Active,zain,Forward,Normal,1: Walking
1790441313.1441529,20286,Target 0,-1687.0,2050.0,560.0,2654.9,-39.45,True,Active,zain,Forward,Normal,1: Walking
1790441313.2127576,20287,Target 0,-1629.0,2035.0,560.0,2606.7,-38.68,True,Active,zain,Forward,Normal,1: Walking
1790441313.296697,20288,Target 0,-1575.0,2017.0,640.0,2559.08,-37.98,True,Active,zain,Forward,Normal,1: Walking
1790441313.3935688,20289,Target 0,-1468.0,1983.0,640.0,2467.25,-36.51,True,Active,zain,Forward,Normal,1: Walking
1790441313.5066748,20290,Target 0,-1383.0,1939.0,790.0,2381.68,-35.5,True,Active,zain,Forward,Normal,1: Walking
1790441313.5634282,20291,Target 0,-1299.0,1894.0,790.0,2296.66,-34.44,True,Active,zain,Forward,Normal,1: Walking
1790441313.6677213,20292,Target 0,-1222.0,1845.0,640.0,2212.99,-33.52,True,Active,zain,Forward,Normal,1: Walking
1790441313.768535,20293,Target 0,-1146.0,1799.0,480.0,2133.01,-32.5,True,Active,zain,Forward,Normal,1: Walking
1790441313.878238,20294,Target 0,-1072.0,1747.0,390.0,2049.68,-31.53,True,Active,zain,Forward,Normal,1: Walking
1790441313.9336073,20295,Target 0,-1003.0,1712.0,390.0,1984.18,-30.36,True,Active,zain,Forward,Normal,1: Walking
1790441314.0321462,20296,Target 0,-948.0,1675.0,560.0,1924.66,-29.51,True,Active,zain,Forward,Normal,1: Walking
1790441314.14137,20297,Target 0,-900.0,1643.0,640.0,1873.35,-28.71,True,Active,zain,Forward,Normal,1: Walking
1790441314.2502477,20298,Target 0,-861.0,1593.0,1190.0,1810.79,-28.39,True,Active,zain,Forward,Normal,1: Walking
1790441314.3888886,20299,Target 0,-818.0,1537.0,880.0,1741.12,-28.02,True,Active,zain,Forward,Normal,1: Walking
