timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1788724244.0690274,7269,Person B,1542.3,3075.9,160.0,3438.18,26.65,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.211759,7270,Person B,1543.5,3075.7,0.0,3436.84,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.274253,7271,Person B,1544.8,3075.6,160.0,3439.53,26.73,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.3523765,7272,Person B,1546.4,3075.1,160.0,3443.13,26.81,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.4505074,7273,Person B,1547.6,3074.1,80.0,3442.25,26.86,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.5516663,7274,Person B,1548.4,3072.9,160.0,3440.92,26.89,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.6338642,7275,Person B,1548.9,3071.8,240.0,3438.68,26.89,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.7005618,7276,Person B,1549.3,3070.6,160.0,3434.21,26.89,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.8152366,7277,Person B,1549.7,3069.3,160.0,3431.07,26.86,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724244.9006813,7278,Person B,1550.0,3068.5,240.0,3432.83,26.77,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.0020566,7279,Person B,1550.0,3068.0,0.0,3433.71,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.0830557,7280,Person B,1550.1,3068.1,160.0,3438.19,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.1508114,7281,Person B,1549.8,3068.0,80.0,3437.29,26.69,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.2331495,7282,Person B,1549.1,3067.9,160.0,3439.08,26.71,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.351032,7283,Person B,1548.3,3067.8,240.0,3437.75,26.74,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.429153,7284,Person B,1547.4,3067.6,160.0,3435.07,26.77,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.50094,7285,Person B,1546.4,3067.4,160.0,3432.38,26.75,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.5843496,7286,Person B,1545.3,3067.7,240.0,3431.93,26.7,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.651011,7287,Person B,1544.3,3068.3,80.0,3431.92,26.66,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.7519777,7288,Person B,1543.9,3068.6,160.0,3433.71,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.8586683,7289,Person B,1544.1,3069.0,240.0,3438.19,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.9367902,7290,Person B,1544.4,3069.5,160.0,3444.0,26.69,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724245.9992864,7291,Person B,1545.1,3070.0,160.0,3444.91,26.76,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.0617788,7292,Person B,1545.7,3070.1,160.0,3442.68,26.8,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.1555338,7293,Person B,1546.1,3070.1,160.0,3439.55,26.8,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.233662,7294,Person B,1546.1,3070.3,240.0,3436.85,26.75,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.3273873,7295,Person B,1546.1,3070.6,80.0,3435.06,26.73,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.4055269,7296,Person B,1546.2,3071.0,160.0,3435.95,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.4680023,7297,Person B,1546.3,3071.1,0.0,3433.26,26.67,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.5461254,7298,Person B,1546.5,3071.1,160.0,3434.61,26.71,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.6242454,7299,Person B,1547.1,3070.7,160.0,3437.31,26.8,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.7023642,7300,Person B,1547.8,3069.4,160.0,3435.55,26.89,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.7804844,7301,Person B,1548.3,3067.9,160.0,3433.78,26.95,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.8429961,7302,Person B,1548.6,3066.4,240.0,3430.65,26.95,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724246.9367404,7303,Person B,1548.8,3064.9,160.0,3427.07,26.95,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.030464,7304,Person B,1549.0,3063.5,160.0,3425.26,26.89,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.1086044,7305,Person B,1549.2,3062.6,240.0,3427.93,26.83,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.1867228,7306,Person B,1549.7,3062.2,160.0,3434.63,26.79,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.2492206,7307,Person B,1550.6,3062.6,160.0,3440.88,26.77,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.3585696,7308,Person B,1551.1,3063.3,-80.0,3443.11,26.74,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.436689,7309,Person B,1550.9,3064.0,160.0,3442.66,26.72,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.499186,7310,Person B,1550.1,3064.9,160.0,3439.98,26.71,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.561682,7311,Person B,1548.8,3065.8,160.0,3435.95,26.68,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.6554277,7312,Person B,1547.3,3066.9,160.0,3433.71,26.65,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.733542,7313,Person B,1545.5,3068.5,240.0,3433.26,26.56,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.8116627,7314,Person B,1543.8,3070.2,80.0,3432.81,26.51,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.8898008,7315,Person B,1542.3,3071.7,160.0,3434.6,26.49,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724247.999151,7316,Person B,1541.2,3072.8,640.0,3439.52,26.54,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.1085203,7317,Person B,1540.6,3073.4,160.0,3443.55,26.64,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.202261,7318,Person B,1540.8,3073.4,160.0,3444.01,26.77,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.2960064,7319,Person B,1541.3,3073.0,160.0,3441.34,26.83,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.3585029,7320,Person B,1541.9,3072.4,160.0,3437.32,26.84,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.436639,7321,Person B,1542.4,3071.9,240.0,3433.73,26.8,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.5147398,7322,Person B,1542.6,3071.5,80.0,3431.03,26.71,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.59286,7323,Person B,1542.9,3071.0,160.0,3430.13,26.64,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.7022266,7324,Person B,1543.0,3070.2,0.0,3426.1,26.58,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.7647433,7325,Person B,1542.7,3069.3,160.0,3425.21,26.51,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.8272395,7326,Person B,1541.9,3068.4,160.0,3427.9,26.49,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.9209628,7327,Person B,1540.5,3067.4,80.0,3428.34,26.51,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724248.999082,7328,Person B,1538.2,3066.3,-80.0,3423.87,26.51,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.0928266,7329,Person B,1535.5,3065.1,240.0,3418.5,26.51,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.1553211,7330,Person B,1532.7,3064.0,160.0,3414.92,26.51,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.2334602,7331,Person B,1530.2,3063.1,160.0,3414.48,26.49,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.31158,7332,Person B,1528.0,3062.7,240.0,3417.62,26.41,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.3897011,7333,Person B,1525.9,3062.6,0.0,3419.87,26.33,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.4834433,7334,Person B,1524.4,3062.9,160.0,3422.11,26.33,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.5508027,7335,Person B,1523.3,3063.3,240.0,3423.9,26.32,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.6289432,7336,Person B,1522.2,3063.5,160.0,3424.8,26.31,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.7206109,7337,Person B,1521.1,3063.4,160.0,3422.55,26.35,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.7987099,7338,Person B,1520.1,3063.4,160.0,3419.42,26.36,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.8953612,7339,Person B,1519.3,3063.7,160.0,3417.63,26.37,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724249.9734957,7340,Person B,1518.4,3063.9,-80.0,3412.71,26.35,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.0984726,7341,Person B,1517.3,3063.9,160.0,3409.59,26.32,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.1765947,7342,Person B,1516.5,3063.8,160.0,3413.17,26.29,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.25471,7343,Person B,1516.5,3063.7,160.0,3418.97,26.34,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.3484511,7344,Person B,1516.9,3064.0,160.0,3426.57,26.37,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.45782,7345,Person B,1517.6,3064.3,160.0,3429.7,26.4,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.520315,7346,Person B,1518.5,3064.4,160.0,3429.69,26.44,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.5984392,7347,Person B,1519.3,3064.6,160.0,3427.9,26.45,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.7078211,7348,Person B,1520.0,3064.9,240.0,3425.22,26.44,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.7859416,7349,Person B,1520.5,3065.4,80.0,3424.33,26.41,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.879686,7350,Person B,1521.1,3066.5,160.0,3425.23,26.36,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724250.942162,7351,Person B,1522.1,3068.2,240.0,3429.26,26.35,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724251.0827963,7352,Person B,1523.4,3070.1,160.0,3435.97,26.35,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724251.1765218,7353,Person B,1524.5,3071.8,160.0,3439.09,26.38,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724251.2546437,7354,Person B,1525.3,3072.8,160.0,3439.08,26.42,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724251.332763,7355,Person B,1525.9,3073.3,160.0,3436.84,26.45,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724251.410899,7356,Person B,1526.1,3073.7,240.0,3434.16,26.44,True,Active,Zoya,None,Normal,5: Lying down (controlled)
1788724251.489019,7357,Person B,1526.1,3074.0,160.0,3430.58,26.43,True,Active,Zoya,None,Normal,5: Lying down (controlled)
