timestamp,sequence_id,target_id,x_mm,y_mm,speed_mms,distance_mm,angle_deg,valid,status,volunteer_id,fall_subtype,pace_variant,action_label
1790094786.389607,4628,Person C,942.5,1230.5,-240.0,1795.47,35.87,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094786.4844508,4629,Person C,973.0,1283.1,-240.0,1829.89,36.29,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094786.5949764,4630,Person C,1002.1,1330.1,-160.0,1875.27,36.37,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094786.6740189,4631,Person C,1028.9,1371.8,-80.0,1908.07,36.39,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094786.7522671,4632,Person C,1053.0,1409.4,-80.0,1936.67,36.39,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094786.8650393,4633,Person C,1072.8,1444.9,160.0,1944.68,36.36,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094786.9705222,4634,Person C,1089.1,1477.2,240.0,1948.28,36.36,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.071487,4635,Person C,1103.8,1502.8,390.0,1944.25,36.45,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.1424062,4636,Person C,1116.9,1522.1,320.0,1940.1,36.28,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.221121,4637,Person C,1128.8,1536.1,320.0,1939.89,36.32,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.299361,4638,Person C,1138.4,1546.6,390.0,1936.88,36.35,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.3905184,4639,Person C,1144.9,1554.5,390.0,1932.05,36.45,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.4833684,4640,Person C,1148.2,1558.4,390.0,1926.25,36.47,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.566614,4641,Person C,1149.1,1558.9,480.0,1917.44,36.52,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.649987,4642,Person C,1147.9,1556.2,560.0,1907.82,36.58,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.7500784,4643,Person C,1145.8,1551.6,560.0,1895.21,36.68,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.8168359,4644,Person C,1143.0,1545.5,560.0,1882.6,36.77,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094787.9414425,4645,Person C,1139.6,1538.8,480.0,1870.2,36.83,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.016879,4646,Person C,1136.2,1531.0,480.0,1857.2,36.86,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.1001863,4647,Person C,1131.8,1522.2,390.0,1843.0,36.84,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.1674993,4648,Person C,1126.6,1512.5,390.0,1828.0,36.84,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.2571523,4649,Person C,1120.5,1502.1,480.0,1812.2,36.86,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.3433058,4650,Person C,1113.7,1491.0,480.0,1796.6,36.83,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.421975,4651,Person C,1106.3,1479.3,480.0,1779.4,36.84,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.4850845,4652,Person C,1096.4,1464.8,560.0,1732.4,36.81,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.5638826,4653,Person C,1084.0,1447.6,480.0,1683.2,36.79,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.6429698,4654,Person C,1069.1,1427.3,390.0,1630.8,36.85,True,Active,ZoyaAzad,None,Normal,1: Walking
1790094788.7377024,4655,Person C,1052.0,1403.9,320.0,1580.4,36.95,True,Active,ZoyaAzad,None,Normal,1: Walking
